techs,costs,carriers,systemwide_levelised_cost
wind_offshore_FR,vul,electricity,3.9297448463761e-07
wind_offshore_IND,co2,electricity,7.073521890752161
wind_offshore_IND,monetary,electricity,21.36168115522369
wind_offshore_IND,vul,electricity,2.9856542884175426e-06
wind_offshore_NDL,co2,electricity,0.9320867957721715
wind_offshore_NDL,monetary,electricity,19.36685224498638
wind_offshore_NDL,vul,electricity,3.920578080589223e-07
wind_offshore_PT,co2,electricity,1.6476113392809248
wind_offshore_PT,monetary,electricity,19.60163429610605
wind_offshore_PT,vul,electricity,1.3748322791098407e-06
wind_onshore_competing_CN,co2,electricity,9.772406549373132
wind_onshore_competing_CN,monetary,electricity,16.63046583314531
wind_onshore_competing_CN,vul,electricity,5.292360279524144e-06
wind_onshore_competing_DE,co2,electricity,3.3551663714129583
wind_onshore_competing_DE,monetary,electricity,14.658212519184678
wind_onshore_competing_DE,vul,electricity,4.119684149108293e-06
wind_onshore_competing_ESP,co2,electricity,579.8103724129776
wind_onshore_competing_ESP,monetary,electricity,3754.055044436564
wind_onshore_competing_ESP,vul,electricity,4.942695002763342e-06
wind_onshore_competing_FR,co2,electricity,2.5340932656895943
wind_onshore_competing_FR,monetary,electricity,14.402074736487664
wind_onshore_competing_FR,vul,electricity,5.48141010393057e-07
wind_onshore_competing_IND,co2,electricity,9.744430478589443
wind_onshore_competing_IND,monetary,electricity,16.405606331613797
wind_onshore_competing_IND,vul,electricity,4.1130148596307686e-06
wind_onshore_competing_NDL,co2,electricity,1.2991113748873764
wind_onshore_competing_NDL,monetary,electricity,14.017443954405845
wind_onshore_competing_NDL,vul,electricity,5.464370489668984e-07
wind_onshore_competing_PT,co2,electricity,2.297719020668206
wind_onshore_competing_PT,monetary,electricity,14.328122102887606
wind_onshore_competing_PT,vul,electricity,1.9173079248883955e-06
wind_onshore_monopoly_CN,co2,electricity,9.701047872378524
wind_onshore_monopoly_CN,monetary,electricity,16.509029211197422
