nodes,techs,carriers,definition_matrix
ESP_1,ESP_7_ESP_8_ac_ohl_transmission,oil,False
ESP_1,ESP_7_ESP_8_ac_ohl_transmission,uranium,False
ESP_1,ESP_8_ESP_10_ac_ohl_transmission,coal,False
ESP_1,ESP_8_ESP_10_ac_ohl_transmission,electricity,False
ESP_1,ESP_8_ESP_10_ac_ohl_transmission,natural_gas,False
ESP_1,ESP_8_ESP_10_ac_ohl_transmission,oil,False
ESP_1,ESP_8_ESP_10_ac_ohl_transmission,uranium,False
ESP_1,ESP_8_ESP_9_ac_ohl_transmission,coal,False
ESP_1,ESP_8_ESP_9_ac_ohl_transmission,electricity,False
ESP_1,ESP_8_ESP_9_ac_ohl_transmission,natural_gas,False
ESP_1,ESP_8_ESP_9_ac_ohl_transmission,oil,False
ESP_1,ESP_8_ESP_9_ac_ohl_transmission,uranium,False
ESP_1,ESP_8_PRT_2_ac_ohl_transmission,coal,False
ESP_1,ESP_8_PRT_2_ac_ohl_transmission,electricity,False
ESP_1,ESP_8_PRT_2_ac_ohl_transmission,natural_gas,False
ESP_1,ESP_8_PRT_2_ac_ohl_transmission,oil,False
ESP_1,ESP_8_PRT_2_ac_ohl_transmission,uranium,False
ESP_1,ESP_9_ESP_10_ac_ohl_transmission,coal,False
ESP_1,ESP_9_ESP_10_ac_ohl_transmission,electricity,False
ESP_1,ESP_9_ESP_10_ac_ohl_transmission,natural_gas,False
ESP_1,ESP_9_ESP_10_ac_ohl_transmission,oil,False
ESP_1,ESP_9_ESP_10_ac_ohl_transmission,uranium,False
ESP_1,ESP_9_MA_dc_subsea_transmission,coal,False
ESP_1,ESP_9_MA_dc_subsea_transmission,electricity,False
ESP_1,ESP_9_MA_dc_subsea_transmission,natural_gas,False
ESP_1,ESP_9_MA_dc_subsea_transmission,oil,False
ESP_1,ESP_9_MA_dc_subsea_transmission,uranium,False
ESP_1,ESP_9_PRT_2_ac_ohl_transmission,coal,False
ESP_1,ESP_9_PRT_2_ac_ohl_transmission,electricity,False
ESP_1,ESP_9_PRT_2_ac_ohl_transmission,natural_gas,False
ESP_1,ESP_9_PRT_2_ac_ohl_transmission,oil,False
ESP_1,ESP_9_PRT_2_ac_ohl_transmission,uranium,False
ESP_1,PRT_1_PRT_2_ac_ohl_transmission,coal,False
ESP_1,PRT_1_PRT_2_ac_ohl_transmission,electricity,False
ESP_1,PRT_1_PRT_2_ac_ohl_transmission,natural_gas,False
ESP_1,PRT_1_PRT_2_ac_ohl_transmission,oil,False
ESP_1,PRT_1_PRT_2_ac_ohl_transmission,uranium,False
ESP_1,Trade_Markets_ESP_10_natural_gas_transmission,coal,False
ESP_1,Trade_Markets_ESP_10_natural_gas_transmission,electricity,False
ESP_1,Trade_Markets_ESP_10_natural_gas_transmission,natural_gas,False
ESP_1,Trade_Markets_ESP_10_natural_gas_transmission,oil,False
ESP_1,Trade_Markets_ESP_10_natural_gas_transmission,uranium,False
ESP_1,Trade_Markets_ESP_11_coal_transmission,coal,False
ESP_1,Trade_Markets_ESP_11_coal_transmission,electricity,False
ESP_1,Trade_Markets_ESP_11_coal_transmission,natural_gas,False
ESP_1,Trade_Markets_ESP_11_coal_transmission,oil,False
ESP_1,Trade_Markets_ESP_11_coal_transmission,uranium,False
