nodes,techs,carriers,timesteps,flow_in
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-04 00:00:00,774.4107103518428
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-04 03:00:00,880.6189770769738
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-04 06:00:00,945.8073686693045
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-04 09:00:00,1106.987183181965
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-04 12:00:00,1819.800010272267
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-04 15:00:00,1368.3775937025641
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-04 18:00:00,1789.1897827556588
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-04 21:00:00,1872.656411098477
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-05 00:00:00,1828.3480212547381
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-05 03:00:00,1136.048860248756
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-05 06:00:00,296.09148171585196
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-05 09:00:00,9.970808096039318e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-05 12:00:00,437.82162103819394
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-05 15:00:00,0.7948860769552477
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-05 18:00:00,9.15168188498985e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-05 21:00:00,7.3363250339083616e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-06 00:00:00,6.7938746920490826e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-06 03:00:00,7.409935086487548e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-06 06:00:00,6.278922605426359e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-06 09:00:00,7.5892374343976466e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-06 12:00:00,7.500297434234769e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-06 15:00:00,7.950342603762987e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-06 18:00:00,1.3468603536439484e-05
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-06 21:00:00,8.247310733126656e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-07 00:00:00,459.80541719397814
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-07 03:00:00,846.4568013714996
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-07 06:00:00,676.6200589361214
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-07 09:00:00,633.7124563835338
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-07 12:00:00,1326.837194747731
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-07 15:00:00,530.0752082742906
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-07 18:00:00,322.57715739984326
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-07 21:00:00,8.899102612202525e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-08 00:00:00,8.631290846951336e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-08 03:00:00,6.687793818178243e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-08 06:00:00,6.447920162196441e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-08 09:00:00,6.267719474096182e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-08 12:00:00,6.901073181571795e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-08 15:00:00,7.117750710565419e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-08 18:00:00,8.153836513482e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-08 21:00:00,7.371338611302681e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-09 00:00:00,346.1493376242944
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-09 03:00:00,582.04905024504
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-09 06:00:00,570.9032990161209
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-09 09:00:00,1005.5749602433496
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-09 12:00:00,520.5832939370664
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-09 15:00:00,78.80799319609059
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-09 18:00:00,9.515007757520828e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-09 21:00:00,1.0548600390164158e-05
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-10 00:00:00,143.9234858502515
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-10 03:00:00,360.6609127477782
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-10 06:00:00,475.1591911321154
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-10 09:00:00,1139.9137137048826
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-10 12:00:00,1831.3136770855176
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-10 15:00:00,912.0034822350902
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-10 18:00:00,512.632731640808
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-10 21:00:00,495.6661654680697
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-01 00:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-01 03:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-01 06:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-01 09:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-01 12:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-01 15:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-01 18:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-01 21:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-02 00:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-02 03:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-02 06:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-02 09:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-02 12:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-02 15:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-02 18:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-02 21:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-03 00:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-03 03:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-03 06:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-03 09:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-03 12:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-03 15:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-03 18:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-03 21:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-04 00:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-04 03:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-04 06:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-04 09:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-04 12:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-04 15:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-04 18:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-04 21:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-05 00:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-05 03:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-05 06:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-05 09:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-05 12:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-05 15:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-05 18:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-05 21:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-06 00:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-06 03:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-06 06:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-06 09:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-06 12:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-06 15:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-06 18:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-06 21:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-07 00:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-07 03:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-07 06:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-07 09:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-07 12:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-07 15:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-07 18:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-07 21:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-08 00:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-08 03:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-08 06:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-08 09:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-08 12:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-08 15:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-08 18:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-08 21:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-09 00:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-09 03:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-09 06:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-09 09:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-09 12:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-09 15:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-09 18:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-09 21:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-10 00:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-10 03:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-10 06:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-10 09:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-10 12:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-10 15:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-10 18:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-10 21:00:00,0.0
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,2018-01-01 00:00:00,0.0
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,2018-01-01 03:00:00,0.0
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,2018-01-01 06:00:00,0.0
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,2018-01-01 09:00:00,0.0
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,2018-01-01 12:00:00,0.0
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,2018-01-01 15:00:00,0.0
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,2018-01-01 18:00:00,0.0
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,2018-01-01 21:00:00,0.0
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,2018-01-02 00:00:00,0.0
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,2018-01-02 03:00:00,0.0
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,2018-01-02 06:00:00,0.0
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,2018-01-02 09:00:00,0.0
