nodes,techs,carriers,carrier_in
ESP_8,existing_coal,coal,1.0
ESP_8,existing_nuclear,uranium,1.0
ESP_8,existing_oil_and_other,oil,1.0
ESP_8,existing_pumped_hydro,electricity,1.0
ESP_8,pumped_hydro_CN,electricity,1.0
ESP_9,ESP_8_ESP_9_ac_ohl_transmission,electricity,1.0
ESP_9,ESP_9_ESP_10_ac_ohl_transmission,electricity,1.0
ESP_9,ESP_9_PRT_2_ac_ohl_transmission,electricity,1.0
ESP_9,Trade_Markets_ESP_9_coal_transmission,coal,1.0
ESP_9,Trade_Markets_ESP_9_natural_gas_transmission,natural_gas,1.0
ESP_9,battery_CN,electricity,1.0
ESP_9,battery_CZ,electricity,1.0
ESP_9,battery_ESP,electricity,1.0
ESP_9,battery_HU,electricity,1.0
ESP_9,battery_PL,electricity,1.0
ESP_9,battery_US,electricity,1.0
ESP_9,demand_tech,electricity,1.0
ESP_9,existing_ccgt,natural_gas,1.0
ESP_9,existing_chp,natural_gas,1.0
ESP_9,existing_coal,coal,1.0
ESP_9,existing_nuclear,uranium,1.0
ESP_9,existing_oil_and_other,oil,1.0
ESP_9,existing_pumped_hydro,electricity,1.0
ESP_9,pumped_hydro_CN,electricity,1.0
FRA_1,ESP_4_FRA_1_ac_ohl_mountain_transmission,electricity,1.0
FRA_1,ESP_4_FRA_1_dc_subsea_transmission,electricity,1.0
FRA_1,ESP_4_FRA_1_dc_underground_transmission,electricity,1.0
FRA_1,ESP_5_FRA_1_ac_ohl_transmission,electricity,1.0
FRA_2,ESP_6_FRA_2_ac_ohl_mountain_transmission,electricity,1.0
FRA_2,ESP_6_FRA_2_dc_underground_transmission,electricity,1.0
PRT_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,1.0
PRT_1,ESP_2_PRT_1_ac_ohl_transmission,electricity,1.0
PRT_1,PRT_1_PRT_2_ac_ohl_transmission,electricity,1.0
PRT_2,ESP_8_PRT_2_ac_ohl_transmission,electricity,1.0
PRT_2,ESP_9_PRT_2_ac_ohl_transmission,electricity,1.0
PRT_2,PRT_1_PRT_2_ac_ohl_transmission,electricity,1.0
Trade_Markets,Trade_Markets_ESP_10_natural_gas_transmission,natural_gas,1.0
Trade_Markets,Trade_Markets_ESP_11_coal_transmission,coal,1.0
Trade_Markets,Trade_Markets_ESP_11_natural_gas_transmission,natural_gas,1.0
Trade_Markets,Trade_Markets_ESP_11_oil_fuel_transmission,oil,1.0
Trade_Markets,Trade_Markets_ESP_11_uranium_transmission,uranium,1.0
Trade_Markets,Trade_Markets_ESP_1_coal_transmission,coal,1.0
Trade_Markets,Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,1.0
Trade_Markets,Trade_Markets_ESP_2_coal_transmission,coal,1.0
Trade_Markets,Trade_Markets_ESP_2_natural_gas_transmission,natural_gas,1.0
Trade_Markets,Trade_Markets_ESP_2_oil_fuel_transmission,oil,1.0
Trade_Markets,Trade_Markets_ESP_2_uranium_transmission,uranium,1.0
Trade_Markets,Trade_Markets_ESP_3_natural_gas_transmission,natural_gas,1.0
Trade_Markets,Trade_Markets_ESP_4_natural_gas_transmission,natural_gas,1.0
Trade_Markets,Trade_Markets_ESP_5_coal_transmission,coal,1.0
Trade_Markets,Trade_Markets_ESP_5_natural_gas_transmission,natural_gas,1.0
Trade_Markets,Trade_Markets_ESP_6_natural_gas_transmission,natural_gas,1.0
Trade_Markets,Trade_Markets_ESP_6_oil_fuel_transmission,oil,1.0
Trade_Markets,Trade_Markets_ESP_6_uranium_transmission,uranium,1.0
Trade_Markets,Trade_Markets_ESP_7_coal_transmission,coal,1.0
Trade_Markets,Trade_Markets_ESP_7_natural_gas_transmission,natural_gas,1.0
Trade_Markets,Trade_Markets_ESP_7_uranium_transmission,uranium,1.0
Trade_Markets,Trade_Markets_ESP_8_uranium_transmission,uranium,1.0
Trade_Markets,Trade_Markets_ESP_9_coal_transmission,coal,1.0
Trade_Markets,Trade_Markets_ESP_9_natural_gas_transmission,natural_gas,1.0
