techs,costs,carriers,systemwide_levelised_cost
wind_onshore_competing_DE,vul,electricity,2.5693353443574373e-06
wind_onshore_competing_ESP,co2,electricity,142.10321842171135
wind_onshore_competing_ESP,monetary,electricity,1261.2621894386712
wind_onshore_competing_ESP,vul,electricity,3.2281233007656275e-06
wind_onshore_competing_FR,co2,electricity,0.5935144642590352
wind_onshore_competing_FR,monetary,electricity,8.775225192118072
wind_onshore_competing_FR,vul,electricity,3.421128421817652e-07
wind_onshore_competing_IND,co2,electricity,2.2699513939316973
wind_onshore_competing_IND,monetary,electricity,9.367175927662707
wind_onshore_competing_IND,vul,electricity,2.5532229719233535e-06
wind_onshore_competing_NDL,co2,electricity,0.3045731782215703
wind_onshore_competing_NDL,monetary,electricity,8.64794256691151
wind_onshore_competing_NDL,vul,electricity,3.4139234234329466e-07
wind_onshore_competing_PT,co2,electricity,0.538270530200572
wind_onshore_competing_PT,monetary,electricity,8.750910916283154
wind_onshore_competing_PT,vul,electricity,1.1969166808780194e-06
wind_onshore_monopoly_CN,co2,electricity,2.3018958588756195
wind_onshore_monopoly_CN,monetary,electricity,9.610593113584672
wind_onshore_monopoly_CN,vul,electricity,3.3220174941048024e-06
wind_onshore_monopoly_DE,co2,electricity,0.7946909548872992
wind_onshore_monopoly_DE,monetary,electricity,8.96598199672258
wind_onshore_monopoly_DE,vul,electricity,2.600258343326023e-06
wind_onshore_monopoly_ESP,co2,electricity,0.3075581964082926
wind_onshore_monopoly_ESP,monetary,electricity,8.73269811232983
wind_onshore_monopoly_ESP,vul,electricity,2.7579057011335997e-06
wind_onshore_monopoly_FR,co2,electricity,0.6006692069718198
wind_onshore_monopoly_FR,monetary,electricity,8.88100943543004
wind_onshore_monopoly_FR,vul,electricity,3.462369697505951e-07
wind_onshore_monopoly_IND,co2,electricity,2.3320883548340303
wind_onshore_monopoly_IND,monetary,electricity,9.623590160116517
wind_onshore_monopoly_IND,vul,electricity,2.6231141230755155e-06
wind_onshore_monopoly_NDL,co2,electricity,1.706355893584674
wind_onshore_monopoly_NDL,monetary,electricity,12.225870796529883
wind_onshore_monopoly_NDL,vul,electricity,3.5902383004097074e-07
wind_onshore_monopoly_PT,co2,electricity,0.5446511624983296
wind_onshore_monopoly_PT,monetary,electricity,8.854643782368967
wind_onshore_monopoly_PT,vul,electricity,1.2111048721373278e-06
