nodes,techs,timesteps,source_use
ESP_1,biogas_to_electricity_supply_CAN,2018-01-06 00:00:00,1.945011765030042e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-06 03:00:00,1.9295992975994495e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-06 06:00:00,1.9608596250996167e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-06 09:00:00,1.9076637706975092e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-06 12:00:00,1.9672169938689987e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-06 15:00:00,1.970097111698546e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-06 18:00:00,1.940252578277971e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-06 21:00:00,1.951958540717407e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-07 00:00:00,1.683456081562675e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-07 03:00:00,1.683174647914133e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-07 06:00:00,1.6832432032255724e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-07 09:00:00,1.6832681669440868e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-07 12:00:00,1.6830313131009932e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-07 15:00:00,1.6833840655934317e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-07 18:00:00,1.6836863528128625e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-07 21:00:00,1.9528444607739464e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-08 00:00:00,1.9534905791223033e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-08 03:00:00,1.945219352197406e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-08 06:00:00,1.957636592149426e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-08 09:00:00,1.954291744080812e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-08 12:00:00,1.9505384252942857e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-08 15:00:00,1.948837300271476e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-08 18:00:00,1.973770027223932e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-08 21:00:00,1.9869627534444675e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-09 00:00:00,1.683603447413367e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-09 03:00:00,1.6832872907348196e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-09 06:00:00,1.6832933743214934e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-09 09:00:00,1.683106086642787e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-09 12:00:00,1.6832462698378865e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-09 15:00:00,1.6833142015018393e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-09 18:00:00,1.9588955015211308e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-09 21:00:00,1.9257289214678877e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-10 00:00:00,1.683423306443015e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-10 03:00:00,1.6834505067849716e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-10 06:00:00,1.6833529475157837e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-10 09:00:00,1.6830289589516962e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-10 12:00:00,1.682815591532658e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-10 15:00:00,1.683040765411383e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-10 18:00:00,1.6832554249114838e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-10 21:00:00,1.6832673013647874e-06
ESP_1,biogas_to_electricity_supply_FR,2018-01-01 00:00:00,1.4606689785154786e-06
ESP_1,biogas_to_electricity_supply_FR,2018-01-01 03:00:00,1.4605532516211953e-06
ESP_1,biogas_to_electricity_supply_FR,2018-01-01 06:00:00,1.4605268624895707e-06
ESP_1,biogas_to_electricity_supply_FR,2018-01-01 09:00:00,1.4605821260985788e-06
ESP_1,biogas_to_electricity_supply_FR,2018-01-01 12:00:00,1.4605508301505527e-06
ESP_1,biogas_to_electricity_supply_FR,2018-01-01 15:00:00,1.4607034141049264e-06
ESP_1,biogas_to_electricity_supply_FR,2018-01-01 18:00:00,1.4607850704174194e-06
ESP_1,biogas_to_electricity_supply_FR,2018-01-01 21:00:00,1.4608041031626526e-06
ESP_1,biogas_to_electricity_supply_FR,2018-01-02 00:00:00,1.4607027516010378e-06
ESP_1,biogas_to_electricity_supply_FR,2018-01-02 03:00:00,1.4606587667680255e-06
ESP_1,biogas_to_electricity_supply_FR,2018-01-02 06:00:00,1.460734347584762e-06
ESP_1,biogas_to_electricity_supply_FR,2018-01-02 09:00:00,1.4609232238546566e-06
