nodes,techs,timesteps,source_use
ESP_1,biogas_to_electricity_supply_CAN,2018-01-02 00:00:00,1.3707087067357454e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-02 03:00:00,1.3705833128243046e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-02 06:00:00,1.3703994912614359e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-02 09:00:00,1.3699870991794964e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-02 12:00:00,1.3697576680906725e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-02 15:00:00,1.3697938384237692e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-02 18:00:00,1.369859287899522e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-02 21:00:00,1.3699427602808049e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-03 00:00:00,1.3697422188846995e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-03 03:00:00,1.3694072079040827e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-03 06:00:00,1.3690404694608809e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-03 09:00:00,1.368828549201585e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-03 12:00:00,1.3691004321392696e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-03 15:00:00,1.3694338551808941e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-03 18:00:00,1.3697285939095872e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-03 21:00:00,1.3698604890876246e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-04 00:00:00,1.3698549636288703e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-04 03:00:00,1.3698875267505322e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-04 06:00:00,1.3702116108986981e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-04 09:00:00,1.3703930275813385e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-04 12:00:00,1.3704135753807572e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-04 15:00:00,1.3703746432815962e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-04 18:00:00,1.3699734388404854e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-04 21:00:00,1.3695548960709198e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-05 00:00:00,1.3689428615262786e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-05 03:00:00,1.3681481711689797e-06
