nodes,techs,costs,timesteps,cost_operation_variable
ESP_10,existing_hydro_run_of_river,monetary,2018-01-08 21:00:00,0.0
ESP_10,existing_hydro_run_of_river,monetary,2018-01-09 00:00:00,0.0
ESP_10,existing_hydro_run_of_river,monetary,2018-01-09 03:00:00,0.0
ESP_10,existing_hydro_run_of_river,monetary,2018-01-09 06:00:00,0.0
ESP_10,existing_hydro_run_of_river,monetary,2018-01-09 09:00:00,0.0
ESP_10,existing_hydro_run_of_river,monetary,2018-01-09 12:00:00,0.0
ESP_10,existing_hydro_run_of_river,monetary,2018-01-09 15:00:00,0.0
ESP_10,existing_hydro_run_of_river,monetary,2018-01-09 18:00:00,0.0
ESP_10,existing_hydro_run_of_river,monetary,2018-01-09 21:00:00,0.0
ESP_10,existing_hydro_run_of_river,monetary,2018-01-10 00:00:00,0.0
ESP_10,existing_hydro_run_of_river,monetary,2018-01-10 03:00:00,0.0
ESP_10,existing_hydro_run_of_river,monetary,2018-01-10 06:00:00,0.0
ESP_10,existing_hydro_run_of_river,monetary,2018-01-10 09:00:00,0.0
ESP_10,existing_hydro_run_of_river,monetary,2018-01-10 12:00:00,0.0
ESP_10,existing_hydro_run_of_river,monetary,2018-01-10 15:00:00,0.0
ESP_10,existing_hydro_run_of_river,monetary,2018-01-10 18:00:00,0.0
ESP_10,existing_hydro_run_of_river,monetary,2018-01-10 21:00:00,0.0
ESP_11,existing_hydro_reservoir,monetary,2018-01-01 00:00:00,0.00010372790844297914
ESP_11,existing_hydro_reservoir,monetary,2018-01-01 03:00:00,0.000105108770871402
ESP_11,existing_hydro_reservoir,monetary,2018-01-01 06:00:00,0.00010656187515620193
ESP_11,existing_hydro_reservoir,monetary,2018-01-01 09:00:00,0.00010551034726186866
ESP_11,existing_hydro_reservoir,monetary,2018-01-01 12:00:00,7.960376578556192e-05
ESP_11,existing_hydro_reservoir,monetary,2018-01-01 15:00:00,0.00010607138221671456
ESP_11,existing_hydro_reservoir,monetary,2018-01-01 18:00:00,0.00010635475640234713
ESP_11,existing_hydro_reservoir,monetary,2018-01-01 21:00:00,0.00010427044929650197
ESP_11,existing_hydro_reservoir,monetary,2018-01-02 00:00:00,0.0001052040848769857
ESP_11,existing_hydro_reservoir,monetary,2018-01-02 03:00:00,0.00010765839068958719
ESP_11,existing_hydro_reservoir,monetary,2018-01-02 06:00:00,0.00010476523464258403
ESP_11,existing_hydro_reservoir,monetary,2018-01-02 09:00:00,0.00010392069052594729
ESP_11,existing_hydro_reservoir,monetary,2018-01-02 12:00:00,0.00010471589994879302
ESP_11,existing_hydro_reservoir,monetary,2018-01-02 15:00:00,0.0001043896861598844
ESP_11,existing_hydro_reservoir,monetary,2018-01-02 18:00:00,0.00010500623893135353
ESP_11,existing_hydro_reservoir,monetary,2018-01-02 21:00:00,0.00010486790387795422
