techs,carriers,systemwide_capacity_factor
Trade_Markets_ESP_11_coal_transmission,natural_gas,0.0
Trade_Markets_ESP_11_coal_transmission,oil,0.0
Trade_Markets_ESP_11_coal_transmission,uranium,0.0
Trade_Markets_ESP_11_natural_gas_transmission,coal,0.0
Trade_Markets_ESP_11_natural_gas_transmission,electricity,0.0
Trade_Markets_ESP_11_natural_gas_transmission,natural_gas,0.3716438453338598
Trade_Markets_ESP_11_natural_gas_transmission,oil,0.0
Trade_Markets_ESP_11_natural_gas_transmission,uranium,0.0
Trade_Markets_ESP_11_oil_fuel_transmission,coal,0.0
Trade_Markets_ESP_11_oil_fuel_transmission,electricity,0.0
Trade_Markets_ESP_11_oil_fuel_transmission,natural_gas,0.0
Trade_Markets_ESP_11_oil_fuel_transmission,oil,0.42637781997394264
Trade_Markets_ESP_11_oil_fuel_transmission,uranium,0.0
Trade_Markets_ESP_11_uranium_transmission,coal,0.0
Trade_Markets_ESP_11_uranium_transmission,electricity,0.0
Trade_Markets_ESP_11_uranium_transmission,natural_gas,0.0
Trade_Markets_ESP_11_uranium_transmission,oil,0.0
Trade_Markets_ESP_11_uranium_transmission,uranium,0.49941657296073416
Trade_Markets_ESP_1_coal_transmission,coal,0.3617189123970544
Trade_Markets_ESP_1_coal_transmission,electricity,0.0
Trade_Markets_ESP_1_coal_transmission,natural_gas,0.0
Trade_Markets_ESP_1_coal_transmission,oil,0.0
Trade_Markets_ESP_1_coal_transmission,uranium,0.0
Trade_Markets_ESP_1_natural_gas_transmission,coal,0.0
Trade_Markets_ESP_1_natural_gas_transmission,electricity,0.0
Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,0.2923374024229353
Trade_Markets_ESP_1_natural_gas_transmission,oil,0.0
Trade_Markets_ESP_1_natural_gas_transmission,uranium,0.0
Trade_Markets_ESP_2_coal_transmission,coal,0.36367875176518843
Trade_Markets_ESP_2_coal_transmission,electricity,0.0
Trade_Markets_ESP_2_coal_transmission,natural_gas,0.0
Trade_Markets_ESP_2_coal_transmission,oil,0.0
Trade_Markets_ESP_2_coal_transmission,uranium,0.0
Trade_Markets_ESP_2_natural_gas_transmission,coal,0.0
Trade_Markets_ESP_2_natural_gas_transmission,electricity,0.0
Trade_Markets_ESP_2_natural_gas_transmission,natural_gas,0.35404995341240564
Trade_Markets_ESP_2_natural_gas_transmission,oil,0.0
Trade_Markets_ESP_2_natural_gas_transmission,uranium,0.0
Trade_Markets_ESP_2_oil_fuel_transmission,coal,0.0
Trade_Markets_ESP_2_oil_fuel_transmission,electricity,0.0
Trade_Markets_ESP_2_oil_fuel_transmission,natural_gas,0.0
Trade_Markets_ESP_2_oil_fuel_transmission,oil,0.388691425854062
Trade_Markets_ESP_2_oil_fuel_transmission,uranium,0.0
Trade_Markets_ESP_2_uranium_transmission,coal,0.0
Trade_Markets_ESP_2_uranium_transmission,electricity,0.0
Trade_Markets_ESP_2_uranium_transmission,natural_gas,0.0
Trade_Markets_ESP_2_uranium_transmission,oil,0.0
Trade_Markets_ESP_2_uranium_transmission,uranium,0.16541013993077033
Trade_Markets_ESP_3_natural_gas_transmission,coal,0.0
Trade_Markets_ESP_3_natural_gas_transmission,electricity,0.0
Trade_Markets_ESP_3_natural_gas_transmission,natural_gas,0.014597615533619634
Trade_Markets_ESP_3_natural_gas_transmission,oil,0.0
Trade_Markets_ESP_3_natural_gas_transmission,uranium,0.0
Trade_Markets_ESP_4_natural_gas_transmission,coal,0.0
Trade_Markets_ESP_4_natural_gas_transmission,electricity,0.0
Trade_Markets_ESP_4_natural_gas_transmission,natural_gas,0.014690073251146615
Trade_Markets_ESP_4_natural_gas_transmission,oil,0.0
Trade_Markets_ESP_4_natural_gas_transmission,uranium,0.0
Trade_Markets_ESP_5_coal_transmission,coal,0.41302688779817515
Trade_Markets_ESP_5_coal_transmission,electricity,0.0
Trade_Markets_ESP_5_coal_transmission,natural_gas,0.0
Trade_Markets_ESP_5_coal_transmission,oil,0.0
Trade_Markets_ESP_5_coal_transmission,uranium,0.0
Trade_Markets_ESP_5_natural_gas_transmission,coal,0.0
Trade_Markets_ESP_5_natural_gas_transmission,electricity,0.0
Trade_Markets_ESP_5_natural_gas_transmission,natural_gas,0.3625299077984598
Trade_Markets_ESP_5_natural_gas_transmission,oil,0.0
Trade_Markets_ESP_5_natural_gas_transmission,uranium,0.0
Trade_Markets_ESP_6_natural_gas_transmission,coal,0.0
Trade_Markets_ESP_6_natural_gas_transmission,electricity,0.0
Trade_Markets_ESP_6_natural_gas_transmission,natural_gas,0.22476819417090274
Trade_Markets_ESP_6_natural_gas_transmission,oil,0.0
Trade_Markets_ESP_6_natural_gas_transmission,uranium,0.0
Trade_Markets_ESP_6_oil_fuel_transmission,coal,0.0
