techs,costs,carriers,systemwide_levelised_cost
wind_onshore_competing_NDL,vul,electricity,7.604542338504031e-06
wind_onshore_competing_PT,co2,electricity,0.48311920275500725
wind_onshore_competing_PT,monetary,electricity,7.854290487869468
wind_onshore_competing_PT,vul,electricity,7.673430793440394e-06
wind_onshore_monopoly_CN,co2,electricity,1.926357783812366
wind_onshore_monopoly_CN,monetary,electricity,8.042692626611874
wind_onshore_monopoly_CN,vul,electricity,7.315930970386107e-06
wind_onshore_monopoly_DE,co2,electricity,0.6458933478368389
wind_onshore_monopoly_DE,monetary,electricity,7.28719522085066
wind_onshore_monopoly_DE,vul,electricity,7.044623473996454e-06
wind_onshore_monopoly_ESP,co2,electricity,0.24748546782315778
wind_onshore_monopoly_ESP,monetary,electricity,7.027014408743889
wind_onshore_monopoly_ESP,vul,electricity,6.9350856869124525e-06
wind_onshore_monopoly_FR,co2,electricity,0.48602993484727064
wind_onshore_monopoly_FR,monetary,electricity,7.186045808874907
wind_onshore_monopoly_FR,vul,electricity,7.003918708350444e-06
wind_onshore_monopoly_IND,co2,electricity,1.9525908459090275
wind_onshore_monopoly_IND,monetary,electricity,8.057556658380127
wind_onshore_monopoly_IND,vul,electricity,7.3208613128159815e-06
wind_onshore_monopoly_NDL,co2,electricity,1.4259429386934193
wind_onshore_monopoly_NDL,monetary,electricity,10.216739776991181
wind_onshore_monopoly_NDL,vul,electricity,7.500596698413553e-06
wind_onshore_monopoly_PT,co2,electricity,0.44017675677053825
wind_onshore_monopoly_PT,monetary,electricity,7.156155445630833
wind_onshore_monopoly_PT,vul,electricity,6.991371613255056e-06
