nodes,techs,timesteps,source_use
ESP_1,biogas_to_electricity_supply_CAN,2018-01-02 03:00:00,6.779770675330548e-07
ESP_1,biogas_to_electricity_supply_CAN,2018-01-02 06:00:00,6.77660201122012e-07
ESP_1,biogas_to_electricity_supply_CAN,2018-01-02 09:00:00,6.764212980683276e-07
ESP_1,biogas_to_electricity_supply_CAN,2018-01-02 12:00:00,6.759697045326043e-07
ESP_1,biogas_to_electricity_supply_CAN,2018-01-02 15:00:00,6.760304505498676e-07
ESP_1,biogas_to_electricity_supply_CAN,2018-01-02 18:00:00,6.766357511532784e-07
ESP_1,biogas_to_electricity_supply_CAN,2018-01-02 21:00:00,6.77023748764093e-07
ESP_1,biogas_to_electricity_supply_CAN,2018-01-03 00:00:00,6.767815069648777e-07
ESP_1,biogas_to_electricity_supply_CAN,2018-01-03 03:00:00,6.759757469187799e-07
ESP_1,biogas_to_electricity_supply_CAN,2018-01-03 06:00:00,6.749701363313766e-07
ESP_1,biogas_to_electricity_supply_CAN,2018-01-03 09:00:00,6.745265289678882e-07
ESP_1,biogas_to_electricity_supply_CAN,2018-01-03 12:00:00,6.751109937583317e-07
ESP_1,biogas_to_electricity_supply_CAN,2018-01-03 15:00:00,6.756749956083189e-07
ESP_1,biogas_to_electricity_supply_CAN,2018-01-03 18:00:00,6.764917002683411e-07
ESP_1,biogas_to_electricity_supply_CAN,2018-01-03 21:00:00,6.768085464532773e-07
ESP_1,biogas_to_electricity_supply_CAN,2018-01-04 00:00:00,6.767960874375077e-07
ESP_1,biogas_to_electricity_supply_CAN,2018-01-04 03:00:00,6.768961963523551e-07
ESP_1,biogas_to_electricity_supply_CAN,2018-01-04 06:00:00,6.776451487590372e-07
ESP_1,biogas_to_electricity_supply_CAN,2018-01-04 09:00:00,6.781914165651411e-07
ESP_1,biogas_to_electricity_supply_CAN,2018-01-04 12:00:00,6.78603760405887e-07
ESP_1,biogas_to_electricity_supply_CAN,2018-01-04 15:00:00,6.784867372355463e-07
ESP_1,biogas_to_electricity_supply_CAN,2018-01-04 18:00:00,6.782110942823537e-07
ESP_1,biogas_to_electricity_supply_CAN,2018-01-04 21:00:00,6.777007522477026e-07
ESP_1,biogas_to_electricity_supply_CAN,2018-01-05 00:00:00,6.768168633641512e-07
ESP_1,biogas_to_electricity_supply_CAN,2018-01-05 03:00:00,6.751861455694026e-07
ESP_1,biogas_to_electricity_supply_CAN,2018-01-05 06:00:00,6.727694335537437e-07
ESP_1,biogas_to_electricity_supply_CAN,2018-01-05 09:00:00,7.223360740615954e-07
