nodes,techs,carriers,carrier_out
ESP_10,biogas_to_electricity_supply_FR,electricity,1.0
ESP_10,biogas_to_electricity_supply_FSM,electricity,1.0
ESP_10,biogas_to_electricity_supply_UK,electricity,1.0
ESP_10,biogas_to_electricity_supply_USA,electricity,1.0
ESP_10,biomass_ESP,electricity,1.0
ESP_10,biomass_FR,electricity,1.0
ESP_10,biomass_IT,electricity,1.0
ESP_10,existing_biogas_to_electricity_supply,electricity,1.0
ESP_10,existing_biomass,electricity,1.0
ESP_10,existing_ccgt,electricity,1.0
ESP_10,existing_chp,electricity,1.0
ESP_10,existing_coal,electricity,1.0
ESP_10,existing_hydro_reservoir,electricity,1.0
ESP_10,existing_hydro_run_of_river,electricity,1.0
ESP_10,existing_nuclear,electricity,1.0
ESP_10,existing_oil_and_other,electricity,1.0
ESP_10,existing_open_field_pv,electricity,1.0
ESP_10,existing_pumped_hydro,electricity,1.0
ESP_10,existing_rooftop_pv,electricity,1.0
ESP_10,existing_wind_onshore,electricity,1.0
ESP_10,existing_wte,electricity,1.0
ESP_10,open_field_pv_CN,electricity,1.0
ESP_10,open_field_pv_DE,electricity,1.0
ESP_10,open_field_pv_ESP,electricity,1.0
ESP_10,open_field_pv_MY,electricity,1.0
ESP_10,open_field_pv_NL,electricity,1.0
ESP_10,open_field_pv_PT,electricity,1.0
ESP_10,pumped_hydro_CN,electricity,1.0
ESP_10,pumped_hydro_ESP,electricity,1.0
ESP_10,roof_mounted_pv_CN,electricity,1.0
ESP_10,roof_mounted_pv_DE,electricity,1.0
ESP_10,roof_mounted_pv_ESP,electricity,1.0
ESP_10,roof_mounted_pv_MY,electricity,1.0
ESP_10,roof_mounted_pv_NL,electricity,1.0
ESP_10,roof_mounted_pv_PT,electricity,1.0
ESP_10,wind_offshore_CN,electricity,1.0
ESP_10,wind_offshore_DE,electricity,1.0
ESP_10,wind_offshore_ESP,electricity,1.0
ESP_10,wind_offshore_FR,electricity,1.0
ESP_10,wind_offshore_IND,electricity,1.0
ESP_10,wind_offshore_NDL,electricity,1.0
ESP_10,wind_offshore_PT,electricity,1.0
ESP_10,wind_onshore_competing_CN,electricity,1.0
ESP_10,wind_onshore_competing_DE,electricity,1.0
ESP_10,wind_onshore_competing_ESP,electricity,1.0
ESP_10,wind_onshore_competing_FR,electricity,1.0
ESP_10,wind_onshore_competing_IND,electricity,1.0
ESP_10,wind_onshore_competing_NDL,electricity,1.0
ESP_10,wind_onshore_competing_PT,electricity,1.0
ESP_10,wind_onshore_monopoly_CN,electricity,1.0
ESP_10,wind_onshore_monopoly_DE,electricity,1.0
